TinyId,Message,CreatedAt,Start Time,End Time,Duration,Error Type,MVNO,VPLMN,Country,Customers,Device type,Impact,Action Taken,Impact Description,Affected Services,CAB,GNOC
12654,kibana: VPLMN DOWN -Hutchison Drei Austria GmbH [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The numbe,2026-07-24 21:04:21 UTC,20:37 UTC,20:42 UTC,5 Minutes,Lost Service,MBQT,Hutchison Drei Austria GmbH,Austria,Loomis Österreich GmbH,"ESSENTIALS4,ADVANCED4,ADVANCED2,ADVANCED3",Minor,Alert closed manually,,,No,
12489,"kibana: VPLMN DOWN -A1 Slovenija, d.d. [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radi",2026-07-24 10:05:17 UTC,09:45 UTC,09:55 UTC,10 Minutes,Lost Service,ORANGE_901,"A1 Slovenija, d.d.",Slovenia,INVERS GmbH,ESSENTIALS5,Minor,Alert closed manually,,,No,
12487,kibana: ROAMING PARTNER DOWN - JT [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed session,2026-07-24 09:58:13 UTC,9:31 UTC,09:41 UTC,10 Minutes,System Failure,JT,Orange Burkina Faso,France,QOTTO SAAS,ADVANCED2,Minor,Alert closed manually,,,No,
12485,kibana: VPLMN DOWN - Orange Burkina Faso [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed,2026-07-24 09:48:11 UTC,9:31 UTC,09:41 UTC,10 Minutes,System Failure,JT,Orange Burkina Faso,France,QOTTO SAAS,ADVANCED2,Minor,Alert closed manually,,,No,
12477,kibana: VPLMN DOWN - Telekom Deutschland GmbH (T-Mobile) [ Diameter/Sigtran  - System failure / Unable to comply ] |         The n,2026-07-24 09:28:04 UTC,"1st instance - 08:29 UTC, 2026-07-24 | | 2nd instance - 14:00 UTC 24th july | | 3rd instance - 16:14 UTC 24th July","1st Instance - 09:19 UTC, 2026-07-24 | | 2nd Instance - 14:12 UTC 2026-07-24 | | 3rd instance - 16:26 UTC 2026-07-24",74 Minutes in total,System Failure,Sparkle,Telekom Deutschland GmbH (T-Mobile),France United States of America Norway Canada Germany Benin,"ChargePoint Inc , Nextivity , Inpro/Seal Company , ALLOVIE , Hafslund , Webb Fontaine Group FZ LLC , NextCentury Submetering Systems, LLC , Gardner Denver ,Wilson Electronics , PV5020: PV COTES NORMAN",,Major,"JSM Raised, GNOC-12710 | Created GNOC-12710 for investigation","Most affected customers have ADV devices so some Devices switched IMSI , also the devices have stopped the session and tried re-registering to network leading to a delay in services | | | | | | | | ICCID - 8933240100001376033 tried reregistration and was able to start session by MNO switch - it also missed some interim updates during reregistration","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12710
12476,kibana: VPLMN DOWN -Bell Mobility Inc. [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radi,2026-07-24 09:24:23 UTC,"1st instance - 08:29 UTC, 2026-07-24 | | 2nd instance - 14:00 UTC 24th july | | 3rd instance - 16:14 UTC 24th July","1st Instance - 09:19 UTC, 2026-07-24 | | 2nd Instance - 14:12 UTC 2026-07-24 | | 3rd instance - 16:26 UTC 2026-07-24",74 Minutes in total,Lost Service,Sparkle,Bell Mobility Inc.,France United States of America Norway Canada Germany Benin,"ChargePoint Inc , Nextivity , Inpro/Seal Company , ALLOVIE , Hafslund , Webb Fontaine Group FZ LLC , NextCentury Submetering Systems, LLC , Gardner Denver ,Wilson Electronics , PV5020: PV COTES NORMAN",,Major,"JSM Raised, GNOC-12710 | Created GNOC-12710 for investigation | Created GNOC-12710 for investigation","Most affected customers have ADV devices so some Devices switched IMSI , also the devices have stopped the session and tried re-registering to network leading to a delay in services | | | | | | | | ICCID - 8933240100001376033 tried reregistration and was able to start session by MNO switch - it also missed some interim updates during reregistration","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12710
12423,kibana: VPLMN DOWN - Rogers Wireless [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed sess,2026-07-24 08:48:03 UTC,"1st instance - 08:29 UTC, 2026-07-24 | | 2nd instance - 14:00 UTC 24th july | | 3rd instance - 16:14 UTC 24th July","1st Instance - 09:19 UTC, 2026-07-24 | | 2nd Instance - 14:12 UTC 2026-07-24 | | 3rd instance - 16:26 UTC 2026-07-24",74 Minutes in total,System Failure,Sparkle,Rogers Wireless,France United States of America Norway Canada Germany Benin,"ChargePoint Inc , Nextivity , Inpro/Seal Company , ALLOVIE , Hafslund , Webb Fontaine Group FZ LLC , NextCentury Submetering Systems, LLC , Gardner Denver ,Wilson Electronics , PV5020: PV COTES NORMAN",,Major,"JSM Raised, GNOC-12710 | Created GNOC-12710 for investigation","Most affected customers have ADV devices so some Devices switched IMSI , also the devices have stopped the session and tried re-registering to network leading to a delay in services | | | | | | | | ICCID - 8933240100001376033 tried reregistration and was able to start session by MNO switch - it also missed some interim updates during reregistration","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12710
12422,kibana: VPLMN DOWN -Hi3G Access AB [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius t,2026-07-24 08:44:24 UTC,"1st instance - 08:29 UTC, 2026-07-24 | | 2nd instance - 14:00 UTC 24th july | | 3rd instance - 16:14 UTC 24th July","1st Instance - 09:19 UTC, 2026-07-24 | | 2nd Instance - 14:12 UTC 2026-07-24 | | 3rd instance - 16:26 UTC 2026-07-24",74 Minutes in total,Lost Service,Sparkle,Hi3G Access AB,France United States of America Norway Canada Germany Benin,"ChargePoint Inc , Nextivity , Inpro/Seal Company , ALLOVIE , Hafslund , Webb Fontaine Group FZ LLC , NextCentury Submetering Systems, LLC , Gardner Denver ,Wilson Electronics , PV5020: PV COTES NORMAN",,Major,"JSM Raised, GNOC-12710 | Created GNOC-12710 for investigation","Most affected customers have ADV devices so some Devices switched IMSI , also the devices have stopped the session and tried re-registering to network leading to a delay in services | | | | | | | | ICCID - 8933240100001376033 tried reregistration and was able to start session by MNO switch - it also missed some interim updates during reregistration","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12710
12395,kibana: ROAMING PARTNER DOWN - PCCW [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed sessi,2026-07-24 08:38:11 UTC,08:30 UTC,08:52 UTC,22 Minutes,System Failure,PCCW,Bouygues Telecom,France,"GEORIS GROUP SAS, Synox, ALLOVIE, etc.",ADVANCED4,Minor,Alert closed manually,,,No,
12369,kibana: VPLMN DOWN -Free mobile [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius term,2026-07-24 08:24:19 UTC,07:56 UTC,08:12 UTC,16 Minutes,Lost Service,JT,Free mobile,France,Synox,"ADVANCED4, ADVANCED3",Minor,Alert closed manually,,,No,
