Week,Tickets Created,Tickets Resolved,P1 Tickets,P2 Tickets,P3 Tickets,P4 Tickets,Ticket Critical,Ticket Major,MTTR (hours),P1 - MTTR,P2 - MTTR,P3 - MTTR,P4 - MTTR,MTTR Critical,MTTR Major,Major (P1/P2) Incidents,Overall MTTR (hours),Backlog Aging (HOURS),Backlog Ticket Volume
W1,17,17,0,0,1,16,,,35.22,0,0.0,33.0,35.0,,,0,35.22,,
W2,21,21,0,1,0,20,,,26.65,0,0.0,0.0,28.0,,,1,26.65,,
W3,11,11,0,0,0,11,,,36.4,0,0.0,0.0,36.0,,,0,36.4,,
W4,16,16,0,0,0,16,,,6.19,0,0.0,0.0,6.0,,,0,6.19,,
W5,10,10,0,0,0,10,,,29.49,0,0.0,0.0,29.0,,,0,29.49,,
W6,18,18,0,0,0,18,,,12.99,0,0.0,0.0,13.0,,,0,12.99,,
W7,17,17,0,0,2,15,,,13.34,0,0.0,19.0,13.0,,,0,13.34,,
W8,11,11,0,0,2,9,,,30.72,0,0.0,18.0,34.0,,,0,30.72,,
W9,18,17,0,0,0,18,,,20.11,0,0.0,0.0,20.0,,,0,20.11,,
W10,7,7,0,0,0,7,,,12.55,0,0.0,0.0,13.0,,,0,12.55,,
W11,22,22,0,2,0,20,,,8.9,0,4.0,0.0,9.0,,,2,8.9,,
W12,9,9,0,0,0,9,,,14.72,0,0.0,0.0,15.0,,,0,14.72,,
W13,21,21,0,0,0,21,,,27.24,0,0.0,0.0,27.0,,,0,27.24,,
W14,8,8,0,0,0,8,,,7.6,0,0.0,0.0,8.0,,,0,7.6,,
W15,13,13,0,0,0,13,,,10.5,0,0.0,0.0,10.0,,,0,10.5,,
W16,10,10,0,0,1,9,,,22.37,0,0.0,9.0,24.0,,,0,22.37,,
W17,15,15,0,0,1,14,,,27.76,0,0.0,8.0,29.0,,,0,27.76,,
W18,20,20,0,1,0,19,,,8.63,0,3.0,0.0,9.0,,,1,8.63,,
W19,21,21,0,0,1,20,,,12.13,0,0.0,12.0,12.0,,,0,12.13,,
W20,12,12,0,0,0,12,,,26.53,0,0.0,0.0,27.0,,,0,26.53,NA,NA
